"label","uuid:ID","name","description","parameterMap","instanceType","id"
"IE Dictionary","92d9c92b-ed57-44b3-b20c-47439162713a","IE_Dict","Dictionary for IE","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1"
"Assessment Dictionary","763e7c79-9b4c-4cd2-84b9-456ebe3a66e6","AS_Dict","Dictionary for Study Assessments","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>'}","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2"
