"uuid:ID","instanceType","isApproximate","id","minValue","maxValue"
"980066f0-2e93-4671-9538-d7fe3768852a","Range","False","Range_2","300.0","300.0"
"d77a18fd-2b0a-4270-b345-2506b7feb028","Range","False","Range_1","300.0","300.0"
"8315d1f2-8e35-4c34-b0be-694a1787fed1","Range","False","Range_3","50.0","100.0"
