"uuid:ID","name","instanceType","label","description","id"
"27294778-aaa8-485a-baae-9b64edb0f234","Screening","StudyEpoch","Screening","Screening Epoch","StudyEpoch_1"
"9caa33d5-b849-4c07-a5a8-67a5c8fe1a65","Treatment 1","StudyEpoch","Treatment One","Treatment Epoch","StudyEpoch_2"
"8bbe064c-db65-4cb7-a00d-b8fb145b7b0e","Treatment 2","StudyEpoch","Treatment Two","Treatment Epoch","StudyEpoch_3"
"1403cabb-1ca8-4f97-93dd-578f9776ef6e","Treatment 3","StudyEpoch","Treatment Three","Treatment Epoch","StudyEpoch_4"
"9398175f-22de-44f4-b5e0-23c6d0ab7531","Follow-Up","StudyEpoch","Follow Up","Follow-up Epoch","StudyEpoch_5"
