"id","uuid:ID","instanceType","otherReason"
"StudyAmendmentReason_1","e267e2c9-0534-4fb4-b652-3ca9ed101ad2","StudyAmendmentReason",""
"StudyAmendmentReason_2","f0940b75-0084-4595-b976-ab5a1ec81bf0","StudyAmendmentReason","Fix typographical errors"
