"description","label","name","parameterMap","uuid:ID","text","id"
"Dictionary for IE","IE Dictionary","IE_Dict","{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","b7f19e31-68ec-490e-a63c-2391fca4f1ad","","SyntaxTemplateDictionary_1"
"Dictionary for Study Assessments","Assessment Dictionary","AS_Dict","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","2a0adb70-583f-4e8b-8f88-ba0b1e239d32","","SyntaxTemplateDictionary_2"
