"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","d29403dc-223c-4a1d-a906-78f90b3d9f2b","StudyAmendmentReason_1",""
"StudyAmendmentReason","02c319b5-2d3b-446d-a3ed-770b33030392","StudyAmendmentReason_2","Fix typographical errors"
