"id","dataOriginDescription","name","description","label","uuid:ID"
"StudyArm_1","Data collected from subjects","Active","Active Substance","","89e35216-86ca-4b2c-8aba-b7fb6a5f611b"
"StudyArm_2","Data collected from subjects","Placebo","Placebo","","ef6a1618-3e80-41ba-a087-e8178d60eddb"
