"id","isApproximate","maxValue","minValue","uuid:ID"
"Range_2","False","120.0","120.0","17a6cd3a-2224-42a6-a10d-b7c592329d73"
"Range_1","False","100.0","100.0","ed8fcc6e-485b-42ff-a7f4-c5e5f4c34822"
