"name","dateValue","id","description","uuid:ID","label"
"D_APPROVE","2006-06-01","GovernanceDate_1","Design approval date","7293dc7d-1f31-4803-be4e-bf9ed735566b","Design Approval"
"P_APPROVE","2006-07-01","GovernanceDate_2","Protocol document approval date","3edf4c0b-da45-40c1-8c77-a7258b6dc9d1","Protocol Approval"
