"label","uuid:ID","isEnabled","isRequired","instanceType","name","id","datatype"
"DSDECOD","f9105d3a-2c86-4435-af27-30d1a301d6a7","True","True","BiomedicalConceptProperty","DSDECOD","BiomedicalConceptProperty_116","text"
"DSTERM","2769c25a-f9ee-4543-8e03-387dcc15c699","True","True","BiomedicalConceptProperty","DSTERM","BiomedicalConceptProperty_117","text"
"DSSTDTC","00791539-af78-4d8a-ad27-f341705c98db","True","True","BiomedicalConceptProperty","DSSTDTC","BiomedicalConceptProperty_118","datetime"
"Sex","b1f92b13-e608-4845-8b27-ffd81ccbb8e4","True","True","BiomedicalConceptProperty","Sex","BiomedicalConceptProperty_119","string"
"Race","0e2fa6f5-294d-435f-96f2-4f5f461b2349","True","True","BiomedicalConceptProperty","Race","BiomedicalConceptProperty_120","string"
"VSTESTCD","33a6420e-0c21-4492-a642-b9bc7bdcde77","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_121",""
"VSORRES","5724ffd2-9baa-414e-bb41-c2ec5fb8b6fd","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_122","float"
"VSORRESU","58174ae9-d350-4009-94c3-7fb5d84d5092","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_123",""
"VSLOC","75eb452f-95b1-43e6-8012-b6fb16ba8f4f","True","True","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_124",""
"VSTESTCD","c1c2865d-dd0c-41ca-8d8f-e5486bac8832","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_125",""
"VSORRES","b8316aa8-8dc7-4e82-9ee9-f534d26dcc36","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_126","float"
"VSORRESU","499f5e0b-260c-49c5-b0c4-0b99197d02fe","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_127",""
"VSTESTCD","4542dd24-8bfe-4706-9f0d-ba976fe11386","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_128",""
"VSORRES","4a1ac6be-0fdf-4599-8921-d1ba0134b0f4","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_129","float"
"VSORRESU","5a639a73-3b70-439d-80a6-316b903cc00c","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_130",""
"LBTESTCD","1da7b5e2-8006-40c6-8bdb-a5d3a863aad8","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_131",""
"LBORRES","15688d15-a58d-426a-a772-de2c39148fa7","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_132","float"
"LBORRESU","1b1804c4-c59d-435e-8584-c7fe2f6a3e2e","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_133",""
"LBSPEC","09a9d21a-0a26-4984-97b8-667b6d305935","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_134",""
"LBFAST","ca1437b6-98da-49ea-8510-9ba4be22d33f","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_135",""
"LBTESTCD","3c32c802-90bf-4832-816e-1ec40afe82a8","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_136",""
"LBORRES","15b828a2-c251-4c42-8f6b-74ef71cf8b29","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_137","text"
"LBSPEC","0794bc94-75ed-4208-b287-ebdc086f79db","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_138",""
"LBFAST","1be13156-d827-498e-8c7c-75250b2de043","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_139",""
"LBTESTCD","fb1e4654-f307-401d-b5c6-0501d08c073e","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_140",""
"LBORRES","1db5b994-3594-4a48-afce-4c350a208ba9","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_141","float"
"LBORRESU","ae90266a-ef04-4d37-a44f-0ec610bc8c81","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_142",""
"LBSPEC","b83cba56-2f4a-4fa9-a1e6-85b7ef4a35c3","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_143",""
"LBFAST","ddecd08d-5a5d-46fd-8c18-a2461c77806a","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_144",""
"LBTESTCD","5abc6c73-e448-4664-af21-e5d3a1cfb5b2","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_145",""
"LBORRES","51b5441c-2e0c-4e96-ade5-366359e875ab","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_146","float"
"LBORRESU","a36ec534-6860-46d3-b03f-89335f1c044c","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_147",""
"LBSPEC","8054adf9-b0d2-4894-a392-de317225a30b","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_148",""
"LBFAST","b5249c63-ec30-4dd5-bd6a-cdb2b1814e82","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_149",""
"LBTESTCD","5d7a3acb-b5cd-4c36-b252-424351c22bb4","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_150",""
"LBORRES","83200c0a-9115-4491-baa1-8912404869d7","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_151","float"
"LBORRESU","fedcc07f-ac31-4d78-bf6d-a9e510ed7de2","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_152",""
"LBSPEC","38fb71a9-6e4b-4de0-bb9e-d3a87d339e98","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_153",""
"LBFAST","708260e6-ef69-451e-ace2-93b386b7f17e","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_154",""
"LBTESTCD","5ee8b583-aa13-48e7-b642-87a21888d2fd","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_155",""
"LBORRES","f263a7b2-b550-446a-9224-e94b5efa5a7a","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_156","float"
"LBORRESU","54cdeea7-36b5-4e3e-abdc-0db98a3452a8","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_157",""
"LBSPEC","e6214d8d-1cf3-4b7f-904f-bf3f04259697","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_158",""
"LBFAST","37b1d125-8554-4e57-bee9-1962170c882f","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_159",""
"LBTESTCD","196efe24-2144-4770-b453-e61839183743","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_160",""
"LBORRES","060ff1e0-e3f4-42ce-aa73-76b8780dbeae","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_161","float"
"LBORRESU","82c56f30-3cc9-4a8c-bb43-0143da21b157","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_162",""
"LBSPEC","f742cbc1-eedf-440f-b075-3db1f6c78687","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_163",""
"LBFAST","82d47f85-69ab-4be1-91ce-7f96404b87a1","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_164",""
"LBTESTCD","71b0e60f-4158-463a-85d2-27be9ae986d7","True","True","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_165",""
"LBORRES","d14aacfe-bdd0-4e1a-9927-1f9fda7b9ff6","True","True","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_166","float"
"LBORRESU","f74d0726-7abd-4448-96f7-029d08585d4e","True","True","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_167",""
"LBSPEC","31a4a13f-1f7b-4bdb-bbad-8c9ac68aa8ff","True","True","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_168",""
"LBFAST","40ba456c-4274-4e67-9a1c-1681711fe436","True","True","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_169",""
"AETERM","02d9a036-28c9-453d-9930-c9c5462fc6e1","True","True","BiomedicalConceptProperty","AETERM","BiomedicalConceptProperty_1","text"
"AEDECOD","6d7582f1-e14f-424a-a503-2625f96c2d3b","True","True","BiomedicalConceptProperty","AEDECOD","BiomedicalConceptProperty_2","text"
"AEPRESP","e9be5273-0444-4e95-9a8b-6b8ce4184c66","True","True","BiomedicalConceptProperty","AEPRESP","BiomedicalConceptProperty_3","text"
"AELOC","90c80c8f-50fd-49c4-bec0-52ca39d7a568","True","True","BiomedicalConceptProperty","AELOC","BiomedicalConceptProperty_4","text"
"AESEV","eb8f8392-8f0c-4972-a7ba-5b6e865cf1cb","True","True","BiomedicalConceptProperty","AESEV","BiomedicalConceptProperty_5","text"
"AESER","470030da-620c-4cfc-8808-8915e04827ca","True","True","BiomedicalConceptProperty","AESER","BiomedicalConceptProperty_6","text"
"AEACN","0a96fbbb-e826-4463-b759-96f0579575a0","True","True","BiomedicalConceptProperty","AEACN","BiomedicalConceptProperty_7","text"
"AEACNOTH","a89a48dc-7c2f-4a0d-bd1c-923ee4381233","True","True","BiomedicalConceptProperty","AEACNOTH","BiomedicalConceptProperty_8","text"
"AEREL","c0c63da1-2fd4-46a3-b763-07cf9f4297f2","True","True","BiomedicalConceptProperty","AEREL","BiomedicalConceptProperty_9","text"
"AERELNST","897f22a8-155a-4264-ad8a-8d5f7586d149","True","True","BiomedicalConceptProperty","AERELNST","BiomedicalConceptProperty_10","text"
"AEPATT","6d4a435c-f481-4eaf-a8f1-213049b4a3ff","True","True","BiomedicalConceptProperty","AEPATT","BiomedicalConceptProperty_11","text"
"AEOUT","99636dd1-ee1c-4fc7-8bca-c120104dfe41","True","True","BiomedicalConceptProperty","AEOUT","BiomedicalConceptProperty_12","text"
"AESCAN","0277c5a2-55e2-4e2e-bf73-e7917f6d7de8","True","True","BiomedicalConceptProperty","AESCAN","BiomedicalConceptProperty_13","text"
"AESCONG","acb08524-d04c-4db9-9b8e-ccbee68c8185","True","True","BiomedicalConceptProperty","AESCONG","BiomedicalConceptProperty_14","text"
"AESDISAB","cd2304c0-8f05-42f9-99cc-2fbb4cb10936","True","True","BiomedicalConceptProperty","AESDISAB","BiomedicalConceptProperty_15","text"
"AESDTH","0f671237-a025-4bb9-a049-4cec3d8d1e58","True","True","BiomedicalConceptProperty","AESDTH","BiomedicalConceptProperty_16","text"
"AESHOSP","88cca67d-34a0-44ee-b4bd-bfe83296f7e1","True","True","BiomedicalConceptProperty","AESHOSP","BiomedicalConceptProperty_17","text"
"AESLIFE","6406c405-28cb-40a1-aab3-37c15a64b012","True","True","BiomedicalConceptProperty","AESLIFE","BiomedicalConceptProperty_18","text"
"AESOD","71661ed5-3f97-4f58-9881-363b99a7b26a","True","True","BiomedicalConceptProperty","AESOD","BiomedicalConceptProperty_19","text"
"AESMIE","429b33fe-37de-416c-a624-5b8f1a629345","True","True","BiomedicalConceptProperty","AESMIE","BiomedicalConceptProperty_20","text"
"AECONTRT","e1c71c0e-6069-4c60-bda7-0aeca9dc8569","True","True","BiomedicalConceptProperty","AECONTRT","BiomedicalConceptProperty_21","text"
"AESTDTC","2b050321-5dd8-4c16-8304-ff6bf705fd3c","True","True","BiomedicalConceptProperty","AESTDTC","BiomedicalConceptProperty_22","datetime"
"AEENDTC","63dad528-94ad-41fa-86ee-51af0402fe92","True","True","BiomedicalConceptProperty","AEENDTC","BiomedicalConceptProperty_23","datetime"
"VSTESTCD","dc2feb5c-26fc-4586-b9f8-c6d27e02d1e3","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_24",""
"VSORRES","13773377-3c59-44d7-a646-7cdb652016f5","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_25","integer"
"VSORRESU","3aff4c61-2edc-4e1c-b96e-60fc7a800144","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_26",""
"VSPOS","d6e81459-2658-4b5a-acb1-9c70a4b2e52f","True","True","BiomedicalConceptProperty","VSPOS","BiomedicalConceptProperty_27",""
"VSLOC","04735e7b-dde0-444c-b179-93acd9d20b84","True","True","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_28",""
"VSLAT","eb45d8bc-7d12-4e05-92de-81f4e82ed5e2","True","True","BiomedicalConceptProperty","VSLAT","BiomedicalConceptProperty_29",""
"VSTESTCD","3b2b10f0-abfa-4fac-834a-c60bf6fbb92e","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_30",""
"VSORRES","9e6a015e-f6e3-4425-b763-7206c67c1fa4","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_31","integer"
"VSORRESU","7d835310-06b5-4bed-9e94-d273262b4109","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_32",""
"VSPOS","51964e66-29a4-4ac8-98b0-0df91de28129","True","True","BiomedicalConceptProperty","VSPOS","BiomedicalConceptProperty_33",""
"VSLOC","45daf9c7-5c51-437b-a13b-a7d30454261c","True","True","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_34",""
"VSLAT","008bf7b8-c9da-4763-b9e5-4bc9058416cf","True","True","BiomedicalConceptProperty","VSLAT","BiomedicalConceptProperty_35",""
"VSTESTCD","f03c4dcd-bef9-41e7-b5c0-e8da8f98e242","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_36",""
"VSORRES","104c7db1-cf1e-40fa-a14a-d9f8f951891c","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_37","float"
"VSORRESU","5ea2b9e4-1d4f-4223-aed6-17dc001152ed","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_38",""
"VSLOC","4702da56-b01d-420c-a3d2-f03e67eeee23","True","True","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_39",""
"VSTESTCD","69241a4a-d16c-4f2c-83d6-677d36e949b9","True","True","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_40",""
"VSORRES","3ea9e293-dbe4-447e-a469-218ec3427ac2","True","True","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_41","float"
"VSORRESU","1d2e264b-fcc0-4bd0-be52-039f544555f1","True","True","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_42",""
