"description","label","uuid:ID","instanceType","name","id"
"Dictionary for IE","IE Dictionary","aa4a1846-ceb4-41d4-8bd2-3febffe1d380","SyntaxTemplateDictionary","IE_Dict","SyntaxTemplateDictionary_1"
"Dictionary for Study Assessments","Assessment Dictionary","2f141f2f-c8bc-456f-b3ac-0635e7481baa","SyntaxTemplateDictionary","AS_Dict","SyntaxTemplateDictionary_2"
