"id","instanceType","uuid:ID"
"StudyCell_1","StudyCell","7cb187d4-825b-4ba2-9d95-7f4974f2f086"
"StudyCell_2","StudyCell","68674dfd-8df0-477d-9dbd-52e1d3f2db3f"
"StudyCell_3","StudyCell","ea640627-0eed-4790-ba0f-eccdd134f00b"
"StudyCell_4","StudyCell","f7d94247-f885-45da-b1de-177efc630469"
"StudyCell_5","StudyCell","36cb7d35-a9ab-4dee-9d34-3b427092e2ac"
"StudyCell_6","StudyCell","99245afe-4fc3-453f-8bc4-341e4af255f3"
"StudyCell_7","StudyCell","d8b2a8f1-e19c-4e5f-92a3-9a5c4338ea54"
"StudyCell_8","StudyCell","2e45c753-3efc-4c9c-965c-a8b1f6a85b41"
"StudyCell_9","StudyCell","dc585b64-1f2d-418f-8f61-9513f6a41b6a"
"StudyCell_10","StudyCell","a813cd4b-7dc7-4c0e-86d2-58033f06a4d0"
"StudyCell_11","StudyCell","5b197459-5cbf-46f1-b432-ca758620784b"
"StudyCell_12","StudyCell","7b4e025e-707d-4e7a-a7e9-e58516398aa9"
"StudyCell_13","StudyCell","1bf4e3b6-fa00-409f-b6fc-d96baeec7ac5"
"StudyCell_14","StudyCell","edbd2ad6-1392-4365-b654-187ed3708a96"
"StudyCell_15","StudyCell","2a75596e-dd5b-4e58-bd44-b74c6783d2d1"
