"id","otherReason","instanceType","uuid:ID"
"StudyAmendmentReason_1","","StudyAmendmentReason","10fd8044-458a-4d2b-9af8-fd0141a5c024"
"StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason","e305fdd2-1bd2-4aaa-8b67-e5b3cc74d509"
