"otherReason","id","instanceType","uuid:ID"
"","StudyAmendmentReason_1","StudyAmendmentReason","9e48d9e2-54d6-4408-8ff7-f278ae127355"
"Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason","35f87660-bfc2-4aeb-a2ba-cd09f9e56f63"
