"minValue","uuid:ID","instanceType","isApproximate","id","maxValue"
"300.0","7bcd8594-d5c3-4d80-a7f1-52fc0651330a","Range","False","Range_2","300.0"
"300.0","aa0e500b-ce1d-4820-ad5a-24118a166f70","Range","False","Range_1","300.0"
"50.0","9217bc42-1012-437d-be36-151cb5e40d5f","Range","False","Range_3","100.0"
