"label","description","name","uuid:ID","dateValue","instanceType","id"
"Design Approval","Design approval date","D_APPROVE","ea0c1150-afd3-41d3-93c8-4fc5809c6f6a","2006-06-01","GovernanceDate","GovernanceDate_1"
"Protocol Approval","Protocol document approval date","P_APPROVE","3e03a89a-313f-46ad-9734-3ce4d11e4e79","2006-07-01","GovernanceDate","GovernanceDate_2"
