"uuid:ID","studyArmDataOriginDescription","id","label","name","description"
"dd2be6f6-247f-4dd6-9d41-afa2d702fe3e","Data collected from subjects","StudyArm_1","","Active","Active Substance"
"f816505b-35b5-4ff8-b53c-3fc118a8f8c5","Data collected from subjects","StudyArm_2","","Placebo","Placebo"
