"uuid:ID","decode","id","codeSystem","code","codeSystemVersion"
"67ce306f-8e5c-4355-b2a0-44adce63c5ed","Interventional Study","Code_1","http://www.cdisc.org","C98388","2023-09-29"
"672cf1bb-76ba-47fa-9d43-ba1b880e004c","Phase III Trial","Code_2","http://www.cdisc.org","C15602","2023-09-29"
"36733fa7-80ab-40a1-ad5a-4723d6137100","Sponsor Approval Date","Code_6","http://www.cdisc.org","C132352","2023-09-29"
"146ae226-764f-4419-856c-9f45b1cf1f02","Global","Code_7","http://www.cdisc.org","C68846","2023-09-29"
"39133a19-5140-4dc6-b357-6fe2370bde39","Vacines Group","Code_3","SPONSOR","VAC","12"
"4d19be79-9921-4ecb-ab20-b58b01bd5dd1","Regulatory","Code_4","SPONSOR","REG","12"
"66eadc0a-02fe-443d-a582-db32ce74e61c","Study Registry","Code_10","http://www.cdisc.org","C93453","2023-09-29"
"c61b09ad-dbc6-443e-8e2e-d8a611ea8efb","United Kingdom of Great Britain and Northern Ireland","Code_11","ISO 3166 1 alpha3","GBR","2020-08"
"c50a3e61-d21f-43d6-a582-d4d9a9bd213f","Clinical Study Sponsor","Code_12","http://www.cdisc.org","C70793","2023-09-29"
"48371245-2c27-48d6-aac3-40a6c40f87bd","France","Code_13","ISO 3166 1 alpha3","FRA","2020-08"
"ce19c270-c86e-4f7e-b1fc-7263c76a0318","Basic Research","Code_42","http://www.cdisc.org","C15714","2023-09-29"
"cc0f29bf-3323-429a-911f-922db6e6e0ca","Device Feasibility Study","Code_43","http://www.cdisc.org","C139174","2023-09-29"
"662a37f5-70f6-4cd2-ba85-92c6c0a9ffc6","Efficacy Study","Code_44","http://www.cdisc.org","C49666","2023-09-29"
"d03c8f39-c4b3-44ee-91e0-b0564f6e53e2","Type 2 diabetes","Code_39","SPONSOR","T2_DIABETES","12"
"b12f9dd1-6f96-4759-9e16-c0819f5fc475","Diabetes mellitus (disorder)","Code_40","SNOMED","73211009","January 31, 2018"
"317de1ac-3c0b-45c1-97a0-04e8cd89b783","Parallel Study","Code_45","http://www.cdisc.org","C82639","2023-09-29"
"8c6200bd-6517-49a4-bee9-02834866dcce","Visit","Code_16","http://www.cdisc.org","C25716","2023-09-29"
"c031c92e-839c-4e6f-9eb3-f72592c03ff5","Clinic","Code_17","http://www.cdisc.org","C51282","2023-09-29"
"5b08812a-b6f0-4cc1-a92c-8e73c7baf9a7","In Person","Code_18","http://www.cdisc.org","C175574","2023-09-29"
"eac8b1cf-b44d-4ddf-8f23-cee75d8c0b43","Visit","Code_19","http://www.cdisc.org","C25716","2023-09-29"
"8c6c29e5-d4de-44c3-85a4-1db8b2236b44","Clinic","Code_20","http://www.cdisc.org","C51282","2023-09-29"
"7d1b71e8-72e7-4e13-91a0-f695f7dc386d","In Person","Code_21","http://www.cdisc.org","C175574","2023-09-29"
"b73ec58b-e8c3-4174-9c96-05efa7266e80","Visit","Code_22","http://www.cdisc.org","C25716","2023-09-29"
"646a9da2-7e60-4454-8c80-f98cb50dfc83","Clinic","Code_23","http://www.cdisc.org","C51282","2023-09-29"
"ebb54e78-b8b8-4b5a-bf3c-30f2696f2806","In Person","Code_24","http://www.cdisc.org","C175574","2023-09-29"
"798aa2f4-bdd9-435f-ab35-580a9becb268","Visit","Code_25","http://www.cdisc.org","C25716","2023-09-29"
"90d5e95d-e52e-4d86-9e73-b5311c19eda9","Clinic","Code_26","http://www.cdisc.org","C51282","2023-09-29"
"82870817-0598-4d3f-853b-7a8548eccc36","In Person","Code_27","http://www.cdisc.org","C175574","2023-09-29"
"510273b1-5641-4440-9d62-cedcee4358dd","Visit","Code_28","http://www.cdisc.org","C25716","2023-09-29"
"c7d6b810-e7b0-4a09-8ec7-d06df6c263de","Home","Code_29","http://www.cdisc.org","C18002","2023-09-29"
"9f2cb636-d21f-4d13-8b06-17647c4143cd","Telephone Call","Code_30","http://www.cdisc.org","C171537","2023-09-29"
"ead4b2e6-4698-4b61-a510-e6510d20633b","Male","Code_72","http://www.cdisc.org","C20197","2023-09-29"
"5cee018d-37fc-417d-804f-c8f153c33ba1","Female","Code_73","http://www.cdisc.org","C16576","2023-09-29"
"4316c622-e0f9-4b87-b60c-7bf4833e3cd7","Unknown","Code_74","http://www.cdisc.org","C17998","2023-09-29"
"41b3091f-9da6-43a4-b5fa-927b34c19a6e","Sex","Code_75","NCI Thesaurus","C28421",""
"04ab459b-6895-456a-8219-bfb88c84d738","Sex","Code_71","NCI Thesaurus","C28421",""
"aedd23f0-85e9-4869-8a57-e766ea5d0273","Unknown","Code_77","http://www.cdisc.org","C17998","2023-09-29"
"ea59bb29-b1e2-477d-88b4-c00b3e92fe0c","Race","Code_78","NCI Thesaurus","C17049",""
"5ea19302-e36d-47a2-9c6f-2c8e44b945db","Race","Code_76","NCI Thesaurus","C17049",""
"3cf685b1-d4d9-434e-afda-08e8d04bd473","Vital Signs Result","Code_80","NCI Thesaurus","C173522",""
