"label","id","uuid:ID","description","name"
"Screening","StudyElement_1","dbd16656-8918-4077-8753-cbcaa157a48d","Screening Element","EL1"
"Placebo","StudyElement_2","6d69c2f5-e627-461d-9bc5-37e3158bbd83","Placebo TTS (adhesive patches)","EL2"
"Follow up","StudyElement_7","0e9eaa43-e5e4-4120-9836-777676c5c446","Follow Up Element","EL7"
"Low","StudyElement_3","08b489aa-b300-4f31-9518-0eeaf56d8447","Xanomeline TTS (adhesive patches) 50 cm2, 54 mg","EL3"
"High - Start","StudyElement_4","72c55456-a476-4549-9114-3160a8d669f8","Xanomeline TTS (adhesive patches) 50 cm2, 54 mg","EL4"
"High - Middle","StudyElement_5","a5fd288b-7f62-41b3-957f-5a11496c24fe","Xanomeline TTS (adhesive patches) 50 cm2, 54 mg + 25 cm2, 27 mg","EL5"
"High - End","StudyElement_6","572d1237-4436-4cf9-9861-8c1aad567ccb","Xanomeline TTS (adhesive patches) 50 cm2, 54 mg","EL6"
