"id","uuid:ID","minValue","maxValue","isApproximate"
"Range_2","7b05b08f-99ec-4efa-ba2f-80cd1da0198b","300.0","300.0","False"
"Range_1","b1b520c2-b8a4-4c11-838c-2f6beff7bc0f","300.0","300.0","False"
