"maxValue","id","minValue","uuid:ID","instanceType","isApproximate"
"300.0","Range_2","300.0","fedc5399-af28-4571-92b6-cfddb54b9530","Range","False"
"300.0","Range_1","300.0","e662d983-7c1f-4c68-a96c-9e715104d693","Range","False"
"100.0","Range_3","50.0","0c73e732-b397-43ea-91e9-51a90d998746","Range","False"
