"id","label","name","dateValue","uuid:ID","description","instanceType"
"GovernanceDate_1","Design Approval","D_APPROVE","2006-06-01","7e6d5db1-7ee6-4d9c-8a0c-2eb24441e3d2","Design approval date","GovernanceDate"
"GovernanceDate_2","Protocol Approval","P_APPROVE","2006-07-01","93876e28-7578-4635-a345-1bc1b0c5bc52","Protocol document approval date","GovernanceDate"
