"instanceType","id","uuid:ID","otherReason"
"StudyAmendmentReason","StudyAmendmentReason_1","3a434d2a-f4ee-4a30-b7b0-33ff53bee33e",""
"StudyAmendmentReason","StudyAmendmentReason_2","db4cbffb-8ade-40f6-a10e-ef797a5962a9","Fix typographical errors"
