"name","id","description","label","dateValue","uuid:ID","instanceType"
"D_APPROVE","GovernanceDate_1","Design approval date","Design Approval","2006-06-01","acd20b5c-b889-4e15-913e-8ca06777ef5e","GovernanceDate"
"P_APPROVE","GovernanceDate_2","Protocol document approval date","Protocol Approval","2006-07-01","b943b201-c6c7-4978-b798-c4e78a7d2c14","GovernanceDate"
