"uuid:ID","instanceType","otherReason","id"
"8712b80b-9bdc-4e01-ab45-4ce01660dc9c","StudyAmendmentReason","","StudyAmendmentReason_1"
"71b045c8-5674-4388-a250-b9bbdeae12b5","StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2"
