"name","id","description","label","uuid:ID","parameterMap","instanceType"
"IE_Dict","SyntaxTemplateDictionary_1","Dictionary for IE","IE Dictionary","def7ed1e-e3f0-4873-b8c0-f4f671fe43dc","{'min_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'maxValue'}, 'max_age': {'klass': 'Range', 'id': 'Range_3', 'attribute': 'minValue'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'description'}}","SyntaxTemplateDictionary"
"AS_Dict","SyntaxTemplateDictionary_2","Dictionary for Study Assessments","Assessment Dictionary","f1d87b32-5a6d-4737-8a4e-539c3e1cb5c0","{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","SyntaxTemplateDictionary"
