"uuid:ID","id","label","name","description"
"d6801452-e8fd-4d54-a063-2e5f0b729d08","StudyEpoch_1","Screening","Screening","Screening Epoch"
"947ad7b3-1adc-41f8-bfa0-0c7e911f899d","StudyEpoch_2","Treatment One","Treatment 1","Treatment Epoch"
"61555941-6c93-4fc2-91d6-f08b46dd12b1","StudyEpoch_3","Treatment Two","Treatment 2","Treatment Epoch"
"ea95b027-6308-47a1-94b5-f6a3a9ef864e","StudyEpoch_4","Treatment Three","Treatment 3","Treatment Epoch"
"ed510882-d58e-40c7-ac78-1128cf15816f","StudyEpoch_5","Follow Up","Follow-Up","Follow-up Epoch"
