"uuid:ID","id","dateValue","label","name","description"
"6c8f59e0-078b-4c25-89ec-8c744ef85f9d","GovernanceDate_1","2006-06-01","Design Approval","D_APPROVE","Design approval date"
"1ba71b1b-5794-45ec-b874-c261e3efcae8","GovernanceDate_2","2006-07-01","Protocol Approval","P_APPROVE","Protocol document approval date"
