"parameterMap","uuid:ID","id","label","name","description","text"
"{'min_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMinimumAgeOfParticipants'}, 'max_age': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'plannedMaximumAgeOfParticipants'}, 'StudyPopulation': {'klass': 'StudyDesignPopulation', 'id': 'StudyDesignPopulation_1', 'attribute': 'populationDescription'}}","54dc2476-f7d6-413a-b402-4ffb82988610","SyntaxTemplateDictionary_1","IE Dictionary","IE_Dict","Dictionary for IE",""
"{'Activity1': {'klass': 'Activity', 'id': 'Activity_6', 'attribute': 'label'}}","d91334ea-5092-453b-9b68-b2a5c5c49aae","SyntaxTemplateDictionary_2","Assessment Dictionary","AS_Dict","Dictionary for Study Assessments",""
