"id","uuid:ID","otherReason","instanceType"
"StudyAmendmentReason_1","98904368-31a5-472c-84c2-af728cb51fc4","","StudyAmendmentReason"
"StudyAmendmentReason_2","8ddc182a-8308-48e6-8b34-d95c88ed55cf","Fix typographical errors","StudyAmendmentReason"
