"id","uuid:ID","label","name","description","instanceType"
"StudyEpoch_1","d9c00e43-cc9a-4062-a1ba-f24cfc867b37","Screening","Screening","Screening Epoch","StudyEpoch"
"StudyEpoch_2","c655110b-865a-4780-852a-6f3d1771e43a","Treatment One","Treatment 1","Treatment Epoch","StudyEpoch"
"StudyEpoch_3","2c4a67f5-6465-4652-b531-0f4b68bc74d0","Treatment Two","Treatment 2","Treatment Epoch","StudyEpoch"
"StudyEpoch_4","28b7dbd4-8ac9-4685-8a29-9abb7136409b","Treatment Three","Treatment 3","Treatment Epoch","StudyEpoch"
"StudyEpoch_5","3837e1a5-ad07-49f1-a7e4-309a963d38c3","Follow Up","Follow-Up","Follow-up Epoch","StudyEpoch"
