"isRequired","id","uuid:ID","label","isEnabled","name","datatype","instanceType"
"True","BiomedicalConceptProperty_116","6ee8aed8-54f9-48e3-929e-ce2e6261a792","Sex","True","Sex","string","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_117","5b9cdd2e-e2df-4ddc-8c47-909127d413c7","Race","True","Race","string","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_118","d42e9d87-70f1-465d-a676-8e28d73d0007","VSTESTCD","True","VSTESTCD","","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_119","dd3cf51f-b9e9-4789-bfb1-c6d9e61ef4c2","VSORRES","True","VSORRES","float","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_120","f87405a8-5cea-443a-bb12-c7fc307bea67","VSORRESU","True","VSORRESU","","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_121","e10cd549-385d-4558-9f78-ffe3d800e0fe","VSLOC","True","VSLOC","","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_122","cb137cc2-8933-4e19-b866-3ac8353bb759","VSTESTCD","True","VSTESTCD","","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_123","88b48c40-ba63-4c13-a844-9761cfdf212d","VSORRES","True","VSORRES","float","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_124","5b7168e3-54f0-450c-b4f1-95bbce29740f","VSORRESU","True","VSORRESU","","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_125","7c599de7-fcb1-40b7-a1ec-8e2567deec4c","VSTESTCD","True","VSTESTCD","","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_126","b75e5373-2709-40be-b809-871ba631ad32","VSORRES","True","VSORRES","float","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_127","6b841941-d884-44a2-83e2-040697c2ef7e","VSORRESU","True","VSORRESU","","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_128","2d0baed4-b99b-4eb7-93b5-98f2e24493e7","LBTESTCD","True","LBTESTCD","","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_129","a6ca8a07-d69d-4d91-8263-e3480bed9227","LBORRES","True","LBORRES","float","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_130","80f91eb1-d0f5-4b66-9e8c-e385b6593ac1","LBORRESU","True","LBORRESU","","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_131","5cc27d35-0c9e-491b-8de4-4638e2622f4a","LBSPEC","True","LBSPEC","","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_132","84292ddf-6b54-4fb5-a382-facfe4647ec7","LBFAST","True","LBFAST","","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_133","a312430f-18c2-4561-b68f-0124be9917fb","LBTESTCD","True","LBTESTCD","","BiomedicalConceptProperty"
