"id","uuid:ID","label","dateValue","name","description","instanceType"
"GovernanceDate_1","e805e4a0-fca8-437b-aa76-7739613ac3e0","Design Approval","2006-06-01","D_APPROVE","Design approval date","GovernanceDate"
"GovernanceDate_2","12ba7033-8a68-417f-a7c7-28202e686a40","Protocol Approval","2006-07-01","P_APPROVE","Protocol document approval date","GovernanceDate"
