"minValue","id","uuid:ID","isApproximate","maxValue","instanceType"
"300.0","Range_2","7d9e1391-a99e-43a1-beb5-40b0149865f7","False","300.0","Range"
"300.0","Range_1","a1301cf5-4260-43dc-b916-f88c28b74acb","False","300.0","Range"
"50.0","Range_3","fbf97b27-e746-41bd-bf00-5314a68a0184","False","100.0","Range"
