"name","id","uuid:ID","dataOriginDescription","label","description"
"Active","StudyArm_1","9c78904b-a975-4868-891e-55937aa9b521","Data collected from subjects","Active Substance","Active Substance"
"Placebo","StudyArm_2","3baf6306-f139-4e32-8d53-9d8fbabccbd5","Data collected from subjects","Placebo","Placebo"
