"name","id","uuid:ID","label","description","dateValue"
"Design Approval","GovernanceDate_1","ed147914-65d6-4318-ad5c-0080e1049602","Design Approval","Design approval date","2022-12-16"
"Protocol Approval","GovernanceDate_2","806e8cdf-3475-4d08-9051-5bf122f4cf08","Protocol Approval","Protocol document approval date","2023-01-01"
