"name","uuid:ID","text","id"
"AP_1","91aee205-e16c-4991-99ac-c19897b520a0","ITT","AnalysisPopulation_1"
"AP_4","b7b0cb2b-a8ad-4937-99ad-8e3b95d4433b","ITT","AnalysisPopulation_2"
