"id","isApproximate","uuid:ID","maxValue","minValue"
"Range_2","False","275dda6c-6e82-40cf-b145-79829eb16446","120.0","120.0"
"Range_1","False","939eaa3a-0a1f-41b9-b235-e10951686461","100.0","100.0"
