"otherReason","uuid:ID","id","instanceType"
"","d173c9a1-011d-4542-824c-9b7d4098d71b","StudyAmendmentReason_1","StudyAmendmentReason"
"Fix typographical errors","b9853602-ba01-427f-af4c-d17c35bc137d","StudyAmendmentReason_2","StudyAmendmentReason"
