"maxValue","uuid:ID","id","instanceType","minValue","isApproximate"
"300.0","5df4e1e2-9f59-45a1-bedc-4b54f42e1722","Range_2","Range","300.0","False"
"300.0","00cef90b-e476-452f-8d72-86d17bd94b5d","Range_1","Range","300.0","False"
"100.0","ab6286a6-e139-4ac7-8480-bd0122e0d7ae","Range_3","Range","50.0","False"
