"instanceType","maxValue","isApproximate","minValue","id","uuid:ID"
"Range","300.0","False","300.0","Range_2","2917782e-90df-40ec-9574-e21568296f8f"
"Range","300.0","False","300.0","Range_1","cca9d70f-b763-4384-b3aa-1c9a10f82de0"
"Range","100.0","False","50.0","Range_3","9077f4bd-13ed-4b65-b39e-638a46500b16"
