"instanceType","otherReason","id","uuid:ID"
"StudyAmendmentReason","","StudyAmendmentReason_1","448264ac-de29-4fc8-9cde-1a93e9fe03e6"
"StudyAmendmentReason","Fix typographical errors","StudyAmendmentReason_2","ca2a0b6b-9e0b-421b-8bbb-6086371b817c"
