"minValue","isApproximate","id","maxValue","uuid:ID","instanceType"
"300.0","False","Range_2","300.0","bce7dafb-a62c-453a-b639-dbdb5134c054","Range"
"300.0","False","Range_1","300.0","21c4e324-6e9c-4a3a-989b-8d731e457d18","Range"
"50.0","False","Range_3","100.0","c9c389e7-a1ab-4afb-bf9c-57f433e116ab","Range"
