"label","isEnabled","uuid:ID","id","isRequired","name","instanceType","datatype"
"DSDECOD","True","53e0d23a-2c36-4e20-a229-f9bb76720ec6","BiomedicalConceptProperty_116","True","DSDECOD","BiomedicalConceptProperty","text"
"DSTERM","True","72c9ee1d-f9f3-4a03-94e3-0222d9f1f433","BiomedicalConceptProperty_117","True","DSTERM","BiomedicalConceptProperty","text"
"DSSTDTC","True","c6a61a86-a51c-4460-be99-fdeabc460f49","BiomedicalConceptProperty_118","True","DSSTDTC","BiomedicalConceptProperty","datetime"
"Sex","True","2bb75990-6107-4342-b66e-428e3771880d","BiomedicalConceptProperty_119","True","Sex","BiomedicalConceptProperty","string"
"Race","True","05ae7c31-95c6-4583-9d61-a78185a3704d","BiomedicalConceptProperty_120","True","Race","BiomedicalConceptProperty","string"
"VSTESTCD","True","83968970-ea9f-4077-87d5-fccf0647ec97","BiomedicalConceptProperty_121","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","c4a89455-c028-4d2a-bc94-a4ea0cd3a73d","BiomedicalConceptProperty_122","True","VSORRES","BiomedicalConceptProperty","float"
"VSORRESU","True","3bddace8-f9db-4fa7-953f-76f121d9c067","BiomedicalConceptProperty_123","True","VSORRESU","BiomedicalConceptProperty",""
"VSLOC","True","4b246622-10d3-4183-ae7d-7a341b6b1302","BiomedicalConceptProperty_124","True","VSLOC","BiomedicalConceptProperty",""
"VSTESTCD","True","d41dce93-d7f1-4eb2-9d59-61c406e73e9f","BiomedicalConceptProperty_125","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","88f957fc-615d-4784-9b04-b9a3b2a791d4","BiomedicalConceptProperty_126","True","VSORRES","BiomedicalConceptProperty","float"
"VSORRESU","True","82697b47-a585-4b3d-8681-bf8e1c127459","BiomedicalConceptProperty_127","True","VSORRESU","BiomedicalConceptProperty",""
"VSTESTCD","True","da662631-bf6c-4ce9-9d0d-91fd934af6c9","BiomedicalConceptProperty_128","True","VSTESTCD","BiomedicalConceptProperty",""
"VSORRES","True","eb3e4611-95e0-45b9-baad-0c1147e1bc0a","BiomedicalConceptProperty_129","True","VSORRES","BiomedicalConceptProperty","float"
"VSORRESU","True","feaf8dd1-7cdd-4550-a373-97a27e096a85","BiomedicalConceptProperty_130","True","VSORRESU","BiomedicalConceptProperty",""
"LBTESTCD","True","14624a4c-9799-4f08-951f-df183f1f9989","BiomedicalConceptProperty_131","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","cbd58106-6e82-4e5b-a67d-621f8142c321","BiomedicalConceptProperty_132","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","33481f5d-350f-48f5-b97f-4f176f4916e9","BiomedicalConceptProperty_133","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","76f1ad6b-e928-45f0-8975-79164755d553","BiomedicalConceptProperty_134","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","f9581281-3908-45dc-b08c-aecf11063bd2","BiomedicalConceptProperty_135","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","367a8380-4ffe-4206-9bf0-54682fad7fd3","BiomedicalConceptProperty_136","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","98986df6-c94e-44d7-aae7-1ca2ce13456f","BiomedicalConceptProperty_137","True","LBORRES","BiomedicalConceptProperty","text"
"LBSPEC","True","404eaa87-7f78-49bc-a720-9103dfc081c4","BiomedicalConceptProperty_138","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","bc2cab2b-4968-4451-a16a-8efb82566c8e","BiomedicalConceptProperty_139","True","LBFAST","BiomedicalConceptProperty",""
"LBTESTCD","True","85b7c093-a13a-4a13-834d-7cb9077e7035","BiomedicalConceptProperty_140","True","LBTESTCD","BiomedicalConceptProperty",""
"LBORRES","True","fc4ae2e6-4769-47cc-9fab-36d2c0c7114e","BiomedicalConceptProperty_141","True","LBORRES","BiomedicalConceptProperty","float"
"LBORRESU","True","abfd78cd-f582-4259-8b52-5fce06a8e498","BiomedicalConceptProperty_142","True","LBORRESU","BiomedicalConceptProperty",""
"LBSPEC","True","e22b4863-b3ae-47bc-b5c1-c8753608a151","BiomedicalConceptProperty_143","True","LBSPEC","BiomedicalConceptProperty",""
"LBFAST","True","916073c0-12a9-434b-8a91-64a7b777bde2","BiomedicalConceptProperty_144","True","LBFAST","BiomedicalConceptProperty",""
