"label","uuid:ID","description","id","name","instanceType"
"IE Dictionary","b2f7a5d4-0231-4f45-a6b4-700b943c707f","Dictionary for IE","SyntaxTemplateDictionary_1","IE_Dict","SyntaxTemplateDictionary"
"Assessment Dictionary","3582cb79-9cdf-4474-8b4e-a6502f5f50d8","Dictionary for Study Assessments","SyntaxTemplateDictionary_2","AS_Dict","SyntaxTemplateDictionary"
