"id","instanceType","uuid:ID","otherReason"
"StudyAmendmentReason_1","StudyAmendmentReason","3699aa53-079e-4c92-877f-b61ee0b7ffd1",""
"StudyAmendmentReason_2","StudyAmendmentReason","a7805471-3cba-436c-97f6-5150bb01c579","Fix typographical errors"
