"maxValue","minValue","instanceType","uuid:ID","isApproximate","id"
"300.0","300.0","Range","6b1db77c-a057-4578-bfd8-c56f7d460abd","False","Range_2"
"300.0","300.0","Range","72991d68-d0b5-4b44-a309-510f94c66dda","False","Range_1"
"100.0","50.0","Range","2828dc7b-0ef7-4e2b-9403-3c9e992c6f8c","False","Range_3"
