"instanceType","name","uuid:ID","label","isRequired","datatype","id","isEnabled"
"BiomedicalConceptProperty","DSDECOD","6c391be8-6e0d-4474-a6f5-b89a6efb7df1","DSDECOD","True","text","BiomedicalConceptProperty_116","True"
"BiomedicalConceptProperty","DSTERM","aea09327-981b-4eb0-a788-51113c5b084e","DSTERM","True","text","BiomedicalConceptProperty_117","True"
"BiomedicalConceptProperty","DSSTDTC","dff1af83-8b97-4e37-85d1-12776b6a150a","DSSTDTC","True","datetime","BiomedicalConceptProperty_118","True"
"BiomedicalConceptProperty","Sex","c94bc35a-3a88-47be-83c2-0cfa41618640","Sex","True","string","BiomedicalConceptProperty_119","True"
"BiomedicalConceptProperty","Race","c5ed5999-da8b-43d2-81c4-5759cd24ed44","Race","True","string","BiomedicalConceptProperty_120","True"
"BiomedicalConceptProperty","VSTESTCD","cddeddd1-c8be-46d0-8f1f-b26144ae48a7","VSTESTCD","True","","BiomedicalConceptProperty_121","True"
"BiomedicalConceptProperty","VSORRES","26f963ea-f2f5-4f1e-8623-fb1f602fb8c1","VSORRES","True","float","BiomedicalConceptProperty_122","True"
"BiomedicalConceptProperty","VSORRESU","525b13ce-9e75-41fe-97aa-eaae74678587","VSORRESU","True","","BiomedicalConceptProperty_123","True"
"BiomedicalConceptProperty","VSLOC","4c10aa61-4b79-4d64-a69c-1d10f6430c77","VSLOC","True","","BiomedicalConceptProperty_124","True"
"BiomedicalConceptProperty","VSTESTCD","74f3ab50-bf1e-4a42-85df-c6a83eb29817","VSTESTCD","True","","BiomedicalConceptProperty_125","True"
"BiomedicalConceptProperty","VSORRES","82443c7e-1e14-42b2-806b-45da6fe8e3b6","VSORRES","True","float","BiomedicalConceptProperty_126","True"
"BiomedicalConceptProperty","VSORRESU","b24848af-3bae-4aef-b66d-ec839bbab7a8","VSORRESU","True","","BiomedicalConceptProperty_127","True"
"BiomedicalConceptProperty","VSTESTCD","f3f3ab18-26ab-436f-8626-4774ad1ad68a","VSTESTCD","True","","BiomedicalConceptProperty_128","True"
