"description","instanceType","name","uuid:ID","label","id"
"Dictionary for IE","SyntaxTemplateDictionary","IE_Dict","bcca06ce-2730-4757-9775-11347d76e04e","IE Dictionary","SyntaxTemplateDictionary_1"
"Dictionary for Study Assessments","SyntaxTemplateDictionary","AS_Dict","42405479-6db1-4890-917b-dc20dcecc7b5","Assessment Dictionary","SyntaxTemplateDictionary_2"
