"id","instanceType","otherReason","uuid:ID"
"StudyAmendmentReason_1","StudyAmendmentReason","","e3f1b003-28cc-4297-94e3-4aeeb0a1502f"
"StudyAmendmentReason_2","StudyAmendmentReason","Fix typographical errors","5b48788b-f2fb-4e88-b458-f7929f0e9a40"
