"isApproximate","uuid:ID","id","maxValue","minValue"
"False","b75c9a75-944b-442f-8448-35420ec96009","Range_2","120.0","120.0"
"False","91d26c8c-30b6-41d4-812e-1e18f3d6469c","Range_1","100.0","100.0"
