"description","dataOriginDescription","uuid:ID","label","id","name"
"Active Substance","Data collected from subjects","54dcc5cf-442f-4bd4-8b87-7d0e55e175d5","","StudyArm_1","Active"
"Placebo","Data collected from subjects","decfbe59-692c-4808-b7d7-55ebdc4cf8b5","","StudyArm_2","Placebo"
