"codeSystem","decode","codeSystemVersion","uuid:ID","id","code"
"http://www.cdisc.org","Interventional Study","2023-09-29","b574a4a4-bcd3-41c1-958c-e926beeba1c8","Code_1","C98388"
"http://www.cdisc.org","Phase III Trial","2023-09-29","40a870df-7f0e-46c1-866b-fb839dadebb6","Code_2","C15602"
"http://www.cdisc.org","Sponsor Approval Date","2023-09-29","be31ef9a-bfcc-40a8-aa7c-134a3b042bd4","Code_6","C132352"
"http://www.cdisc.org","Global","2023-09-29","f7c01e16-b72e-448d-9a06-9652d95d1717","Code_7","C68846"
"SPONSOR","Vacines Group","12","d20ca3e1-d789-4da1-9623-ded8a9754039","Code_3","VAC"
"SPONSOR","Regulatory","12","230b8384-1eae-4db0-81f7-b2b975545bd9","Code_4","REG"
"http://www.cdisc.org","Study Registry","2023-09-29","906c86a4-f1b9-48f6-8275-d94d19e6f10f","Code_10","C93453"
"ISO 3166 1 alpha3","United Kingdom of Great Britain and Northern Ireland","2020-08","753372ab-8872-4b7d-96e1-70fddf2b3d52","Code_11","GBR"
"http://www.cdisc.org","Clinical Study Sponsor","2023-09-29","58efc0c2-7ac1-4e95-9e16-7955b2112c42","Code_12","C70793"
"ISO 3166 1 alpha3","France","2020-08","da68294d-3db3-49a0-a710-4a08533571c6","Code_13","FRA"
"http://www.cdisc.org","Basic Research","2023-09-29","0f1a7f54-52fc-42d0-b94a-5a4dde38d47b","Code_42","C15714"
"http://www.cdisc.org","Device Feasibility Study","2023-09-29","b3410ede-04a5-4c66-abba-8f5568a9e321","Code_43","C139174"
"http://www.cdisc.org","Efficacy Study","2023-09-29","77964a34-6b83-4e0c-b413-898d65ce14fc","Code_44","C49666"
"SPONSOR","Type 2 diabetes","12","3ec398ec-d316-4e6e-8a22-e44a9b14227c","Code_39","T2_DIABETES"
"SNOMED","Diabetes mellitus (disorder)","January 31, 2018","e54bfcb2-932a-4a59-b2a8-e881bb2dccab","Code_40","73211009"
"http://www.cdisc.org","Parallel Study","2023-09-29","a87aca74-65fe-4893-a49f-20f974adea46","Code_45","C82639"
"http://www.cdisc.org","Visit","2023-09-29","64eda79f-1617-4c96-ac86-b31a7e461acc","Code_16","C25716"
"http://www.cdisc.org","Clinic","2023-09-29","d2f7849b-bb02-4b57-9744-85de8682a2f1","Code_17","C51282"
"http://www.cdisc.org","In Person","2023-09-29","2e59e436-00ea-4d9c-983a-d97daa304edc","Code_18","C175574"
"http://www.cdisc.org","Visit","2023-09-29","a6ee717f-50db-4b3e-b8a6-498e545d9d26","Code_19","C25716"
"http://www.cdisc.org","Clinic","2023-09-29","01dfc8df-92cf-4cc1-b3ec-e77848bc463f","Code_20","C51282"
"http://www.cdisc.org","In Person","2023-09-29","a27a418e-1c2d-4303-a453-e293911fad3e","Code_21","C175574"
"http://www.cdisc.org","Visit","2023-09-29","bf33f6ef-8a1f-4707-a5ec-8a9673bcc265","Code_22","C25716"
"http://www.cdisc.org","Clinic","2023-09-29","da60cadf-43a8-4228-856f-ad071c1bbfd1","Code_23","C51282"
"http://www.cdisc.org","In Person","2023-09-29","150a2d9b-c862-4d9a-9c55-e5c4e8134159","Code_24","C175574"
"http://www.cdisc.org","Visit","2023-09-29","4ef81127-caf4-4066-a384-cbe7ddf885d7","Code_25","C25716"
"http://www.cdisc.org","Clinic","2023-09-29","44eaf791-b513-418e-a94b-3ce49d854ec5","Code_26","C51282"
"http://www.cdisc.org","In Person","2023-09-29","2df38ab5-f012-48bf-b791-9be1b119ecb2","Code_27","C175574"
"http://www.cdisc.org","Visit","2023-09-29","df7582da-c4e8-421d-9f80-0b39ac3a9775","Code_28","C25716"
"http://www.cdisc.org","Home","2023-09-29","1f9a2228-6546-437f-b777-63739739c322","Code_29","C18002"
"http://www.cdisc.org","Telephone Call","2023-09-29","c660c5ae-77f6-43ca-beb2-36a85ec31611","Code_30","C171537"
"http://www.cdisc.org","Male","2023-09-29","4d116b39-93e5-4296-b7fa-3bf1d515c492","Code_72","C20197"
"http://www.cdisc.org","Female","2023-09-29","7071ff6a-3564-497a-a058-e34243643d9a","Code_73","C16576"
"NCI Thesaurus","Sex","","f0321eba-449d-477f-a7b7-e1e05cb314a6","Code_74","C28421"
"NCI Thesaurus","Sex","","4bed8754-dd89-4e64-a35a-de694ad655ab","Code_71","C28421"
"NCI Thesaurus","Race","","8cba5b94-4570-47bd-b4e1-3051492f6176","Code_76","C17049"
"NCI Thesaurus","Race","","23f9f5e6-cf83-47a0-bae5-3ff18b540781","Code_75","C17049"
"NCI Thesaurus","Vital Signs Result","","f3f31793-3add-4466-ac92-24c1d6aa886c","Code_78","C173522"
"http://www.cdisc.org","Kilogram","2023-09-29","54f8d8ca-667e-401c-97d4-b42054700c21","Code_79","C28252"
"http://www.cdisc.org","Gram","2023-09-29","6eeb2396-f854-4052-91d7-3e5607955364","Code_80","C48155"
"http://www.cdisc.org","Pound","2023-09-29","c1db2b45-25d8-4ee1-b117-1bb64c3fb723","Code_81","C48531"
"NCI Thesaurus","Unit of Weight","","fcbd0940-c397-4674-9697-79575da3d482","Code_82","C48208"
"NCI Thesaurus","Body Weight","","a7991b9d-f796-4e31-bd6b-a0f006eeebc2","Code_77","C81328"
"http://www.cdisc.org","Active Comparator Arm","2023-09-29","56c56e66-bb13-4e22-92a6-9f879d0e2be7","Code_31","C174267"
"http://www.cdisc.org","Data Generated Within Study","2023-09-29","a3a9c74a-dee3-4d79-b3be-49da8e6d4974","Code_32","C188866"
"http://www.cdisc.org","Placebo Comparator Arm","2023-09-29","70cddf9c-f1f7-41d6-bd61-8bdd2246f587","Code_33","C174268"
"http://www.cdisc.org","Data Generated Within Study","2023-09-29","fd005485-61d8-461d-9138-e1b1dc76507d","Code_34","C188866"
