"studyIdentifier","id","uuid:ID","instanceType"
"H2Q-MC-LZZT","StudyIdentifier_1","d24e7be2-977c-481a-aa3e-3af6699c5a0f","StudyIdentifier"
"NCT12345678","StudyIdentifier_2","3864f7de-7248-4c04-ab5e-939f3e034893","StudyIdentifier"
