"otherReason","id","uuid:ID","instanceType"
"","StudyAmendmentReason_1","7f27f067-672f-4ef2-8f7f-aac18b99c891","StudyAmendmentReason"
"Fix typographical errors","StudyAmendmentReason_2","ab9d7956-9171-4d0d-908f-6eb227de4d8f","StudyAmendmentReason"
