"otherReason","id","uuid:ID","instanceType"
"","StudyAmendmentReason_1","2e59bb27-be06-4187-bf0d-9fd736e2d3b0","StudyAmendmentReason"
"Fix typographical errors","StudyAmendmentReason_2","f70fdf2a-4362-4299-9789-d11ccdfc8eb8","StudyAmendmentReason"
