"label","id","description","uuid:ID","name","text"
"","AnalysisPopulation_1","","77b390bc-631f-4f34-a19e-4d04955292a2","AP_1","ITT"
"","AnalysisPopulation_2","","64b592a3-6f23-45e7-a7ea-a5a884060d89","AP_4","ITT"
