"label","id","description","uuid:ID","name","studyArmDataOriginDescription"
"","StudyArm_1","Active Substance","934d5496-f917-481f-b31e-01945750ccfb","Active","Data collected from subjects"
"","StudyArm_2","Placebo","08bbc696-5274-4dc9-a9c3-bcec1bbbf681","Placebo","Data collected from subjects"
