"uuid:ID","description","name","instanceType","id","label"
"d9ce9b8a-396c-4f74-9eca-5d25e064e0d2","Dictionary for IE","IE_Dict","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1","IE Dictionary"
"9a12e80f-72f7-4746-8979-3d407b51dd61","Dictionary for Study Assessments","AS_Dict","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2","Assessment Dictionary"
