"instanceType","id","otherReason","uuid:ID"
"StudyAmendmentReason","StudyAmendmentReason_1","","401d0f5a-ceef-4ba7-a9d6-82b78ed0e226"
"StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors","0f39cdb5-da7c-4a1e-9d70-99c28fd97109"
