"uuid:ID","name","label","id","description","instanceType"
"d028b06a-fca2-4889-ab12-f832b69247b1","Screening","Screening","StudyEpoch_1","Screening Epoch","StudyEpoch"
"40635e4d-379c-43d6-9183-da441b646f0f","Treatment 1","Treatment One","StudyEpoch_2","Treatment Epoch","StudyEpoch"
"5a650c09-96a1-4535-b779-c5d8b1bbc60f","Treatment 2","Treatment Two","StudyEpoch_3","Treatment Epoch","StudyEpoch"
"71f39054-24ab-4e25-8ea5-1a9f0c71bc01","Treatment 3","Treatment Three","StudyEpoch_4","Treatment Epoch","StudyEpoch"
"3477e26d-44b8-4a35-9703-38e7a5be04f3","Follow-Up","Follow Up","StudyEpoch_5","Follow-up Epoch","StudyEpoch"
