"id:ID","id","standardCodeAliases","uuid"
"314","AliasCode_1","[]","8f286b53-013a-467c-aca1-79b939103e2a"
"315","AliasCode_3","[]","009e97d7-8b81-4ef4-b6f4-372e996cf7fd"
"316","AliasCode_4","[]","e8cd9790-e368-4862-b577-55ff389d8f3d"
"317","AliasCode_109","[]","964f58c6-2fdc-4101-a6c5-8fc99b261c2b"
"318","AliasCode_110","[]","bcb3d5dc-b3d5-4ec2-92c8-4b869b552437"
"319","AliasCode_111","[]","2a8531fa-a66b-4772-a0aa-4864f1ec83be"
"320","AliasCode_108","[]","1202e8e4-e258-4174-b752-143af7624dc4"
"321","AliasCode_113","[]","c3e6b530-e41d-45a9-84f2-3a563fdc5a98"
"322","AliasCode_114","[]","ff1e376f-5d85-4c4b-afd6-8b79d3848620"
"323","AliasCode_112","[]","a6c009b3-73ab-4ddd-98fe-533aa2f0440d"
"324","AliasCode_116","[]","3504c06d-a81f-4c41-a84e-3799867988e7"
"325","AliasCode_117","[]","d9eefcc4-bf23-42d9-8dd0-8d7c3a0b5ab5"
"326","AliasCode_115","[]","769070e6-ebe9-444d-8d05-90939aa61935"
"327","AliasCode_119","[]","d12e8373-71c1-4403-be91-7ca6ca917cdb"
"328","AliasCode_120","[]","5a051cbc-378a-4515-9b16-a0355f10ec38"
"329","AliasCode_121","[]","3a59b1a4-008c-4aa2-8a10-a0d636c7229b"
"330","AliasCode_122","[]","62c41aa6-409e-4566-8d87-31ca45ae23e1"
"331","AliasCode_118","[]","d1dac23a-72a4-4fdd-9c95-093ab739eb28"
"332","AliasCode_124","[]","b9e27782-c57e-478f-9599-06ab3aa42625"
"333","AliasCode_125","[]","84736bb3-1329-4d6c-a5c6-68a629e08275"
"334","AliasCode_126","[]","73c8fe46-fa14-42bf-80ba-08a238711888"
"335","AliasCode_127","[]","f3ab89fb-2e1f-41eb-ace8-d84cc52df505"
"336","AliasCode_123","[]","82fa128d-ec29-4cf6-805e-ec722f299551"
"337","AliasCode_129","[]","2456b1d1-7324-433d-9b20-5000eadb2ae6"
"338","AliasCode_130","[]","626af0d2-fead-4b37-a49b-b99d742db0f6"
"339","AliasCode_131","[]","113f0f78-e3d4-4755-b1b9-a5f90a9314e7"
"340","AliasCode_132","[]","c46075b3-96e2-4ead-b912-2c86dc389612"
"341","AliasCode_128","[]","af5bee5d-a85c-4703-a205-1d9e85bbb698"
"342","AliasCode_134","[]","47011e7e-3e23-4c2b-aefc-34b1c9dd221b"
"343","AliasCode_135","[]","04539768-21cf-4b2d-8d28-d0dcc777e993"
"344","AliasCode_136","[]","aa495865-6482-4b2f-9135-db2294df858c"
"345","AliasCode_137","[]","eedb1c21-57d3-4df8-b73b-80c3b340aed4"
"346","AliasCode_133","[]","443f4c78-241c-46eb-8df3-5fa40158f5ef"
"347","AliasCode_139","[]","a304fcd2-0f0f-49cd-b8b4-e8a988231f5d"
"348","AliasCode_140","[]","872630de-6595-47ce-99e3-1a9a086cb791"
"349","AliasCode_141","[]","213ba0dc-28d7-4890-aab4-e3ab2d61f1e1"
"350","AliasCode_142","[]","529b22a0-924b-4bd6-ab59-cd21b45a1443"
"351","AliasCode_138","[]","82d3842c-a9d3-4fe9-9a15-977a677deea5"
"352","AliasCode_144","[]","c7aa4432-b283-459a-a425-9fb7f0892e9d"
"353","AliasCode_145","[]","dafe202b-227f-415b-a7f9-406b06ae25f5"
"354","AliasCode_146","[]","d05cda88-ee17-402f-8196-bafd56a76ba6"
"355","AliasCode_147","[]","ed6dac96-833c-40f3-8b29-8569a0086f67"
"356","AliasCode_143","[]","20f447f0-3914-4efd-80e4-7c4b206d15c0"
"357","AliasCode_149","[]","922ff3e3-aa75-44be-9cd2-688bfaa62a70"
"358","AliasCode_150","[]","16359d98-83aa-4e67-a5c4-74ce07119d31"
"359","AliasCode_151","[]","229ceba3-e027-4b61-9a60-00c8e57c2d65"
"360","AliasCode_152","[]","02043fa4-21d0-4908-aad8-b3fbbe0318fc"
"361","AliasCode_148","[]","00cd8b1f-7280-4c5a-9c61-d6ce89b34cb3"
"362","AliasCode_7","[]","66fab241-b68c-4a6f-ab42-1f335cd29979"
"363","AliasCode_8","[]","366c6b42-415b-43e5-8798-59565d005ddb"
"364","AliasCode_9","[]","144b9ca3-0831-4b5c-af9d-e0b90643ecde"
"365","AliasCode_10","[]","f582d6f5-8c34-4d2e-b68f-43dae1205e38"
"366","AliasCode_11","[]","840457e8-2f48-4fd8-be9b-357efd604407"
"367","AliasCode_12","[]","9e984d07-f4d8-4dd6-9941-e908f6ab4aba"
"368","AliasCode_13","[]","5ea4bf97-edfe-4c61-b839-da33358e8a67"
"369","AliasCode_14","[]","d867fa23-309c-45f5-b98d-e075f58d8672"
"370","AliasCode_15","[]","c0c00336-d1f4-441d-9969-81a93956d25f"
"371","AliasCode_16","[]","6e4a4a0e-c9f2-49f7-b006-b43cb95e6e01"
"372","AliasCode_17","[]","9a91f807-daec-4ee0-9c8b-a39ebe8294ac"
"373","AliasCode_18","[]","245b3e93-d685-4c03-ba24-8d479d4c6d53"
"374","AliasCode_19","[]","3cf92aee-42a1-4073-bb21-df053311c15c"
"375","AliasCode_20","[]","a8fa62b3-fbec-48ef-9bfa-a19e328ddcc3"
"376","AliasCode_6","[]","10804ea3-b802-4707-9824-cbfaac913caa"
"377","AliasCode_22","[]","e38205ff-ed0d-44a1-ada3-ff0d10bfed83"
"378","AliasCode_23","[]","e3108766-f061-4d74-87a3-9ccf2675c584"
"379","AliasCode_24","[]","3a8b7b0a-179e-4ee1-b5e1-48cb2f48450d"
"380","AliasCode_25","[]","b1bcb257-af8a-46f8-9f52-249238dfd7bd"
"381","AliasCode_26","[]","376a8e4a-e315-4167-9df1-4fe41dd92fd6"
"382","AliasCode_27","[]","12d2b72b-1ef3-42da-ba27-afe62459002a"
"383","AliasCode_21","[]","4a1d1bff-2c02-4e74-846d-3b6ba674d556"
"384","AliasCode_29","[]","357fc0bb-d524-43b4-b9b0-f4c28b857d23"
