"uuid:ID","otherReason","id"
"4703f70c-56c8-4509-90f0-6b2edb3bf89d","","StudyAmendmentReason_1"
"f4267223-99c2-428f-b9b1-bbf587131ea4","Fix typographical errors","StudyAmendmentReason_2"
