"description","name","id","label","dateValue","uuid:ID"
"Design approval date","D_APPROVE","GovernanceDate_1","Design Approval","2006-06-01","d863ee99-8c98-497d-88f0-9da7dc26d901"
"Protocol document approval date","P_APPROVE","GovernanceDate_2","Protocol Approval","2006-07-01","ea6efa5e-b23c-4710-b650-19fe809278a3"
